Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB,rpsL,rrs_str,gidB,rrs_inj,Peis,gyrA,gyrB,PethA,ethA,rpoA,rpoC,rpoB
0450Q,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0629K,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1739R,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
1858W,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0831E,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
0896A,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2403N,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0840P,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0460B,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
0943B,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
2487E,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1
2028F,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
2339T,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
0111X,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
1392P,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1
1659E,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
1605W,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
2294V,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2505Z,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2275Z,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
2273X,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
2310M,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2280E,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0360S,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0125M,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0180X,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0
1586A,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
2514J,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
0161B,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0
0784D,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2381P,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2341W,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1506N,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0770N,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
1048Q,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
