Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB
0574A,0,0,0,0,0,0,0
0468K,0,0,0,0,0,0,0
0820S,0,0,0,0,0,0,0
2139B,0,0,0,0,0,0,0
0307K,0,0,0,0,0,0,0
2594W,0,0,0,0,0,0,0
1465T,0,0,0,0,0,0,0
2316T,0,0,0,0,0,0,0
0378M,0,0,0,0,0,0,0
2049D,0,0,1,0,0,0,0
1633B,0,0,0,0,0,0,0
2070B,0,0,0,0,0,0,0
0837L,1,1,0,0,0,0,0
0720J,1,1,0,0,0,0,0
1250K,1,1,1,0,1,0,1
0069B,1,1,1,0,1,0,1
1830Q,1,1,1,0,0,0,1
2091Z,1,1,1,0,0,0,1
2568S,1,0,1,1,0,0,1
0846W,1,0,1,1,0,0,1
0085T,1,0,1,1,0,0,1
2087V,0,0,0,0,0,0,0
1853Q,1,0,1,0,1,0,1
1535V,1,0,0,0,0,0,0
0051G,1,0,0,0,0,0,0
1833T,1,0,1,0,1,0,0
2135X,1,0,1,0,0,0,1
1920N,1,0,0,0,0,0,0
0593W,1,0,1,0,0,1,1
0923E,0,0,1,0,0,0,0
0802Y,0,0,1,0,1,0,1
0403P,0,0,1,0,0,0,0
1070P,0,0,0,0,0,0,0
2527Y,0,0,0,0,0,0,0
1237W,0,0,0,0,0,0,0
1450C,0,0,0,0,0,0,0
0805B,0,0,0,0,0,0,0
0070C,0,0,0,0,0,0,0
1717S,0,0,0,0,0,0,0
0807D,0,0,0,0,0,0,0
0916X,0,0,0,0,0,0,0
2198Q,0,0,0,0,0,0,0
2169J,0,1,1,0,0,0,1
1679B,0,1,1,0,0,0,1
0390A,0,1,1,0,0,0,1
2373F,0,1,1,0,0,0,1
1743W,0,0,0,0,0,0,0
2488F,0,0,0,0,0,0,0
0011N,1,1,1,0,1,0,1
2015R,0,0,0,0,0,0,0
1737P,1,1,1,0,0,0,1
1537X,0,0,0,0,0,0,0
0525X,0,0,0,0,0,0,0
2081N,0,0,1,0,0,0,0
0534G,0,0,1,0,0,0,0
2290Q,0,0,0,0,0,0,0
2252Z,0,0,0,0,0,0,0
2023A,0,0,0,0,0,0,0
2171L,0,0,0,0,0,0,0
1542C,0,0,1,0,0,0,0
2174P,0,0,0,0,0,0,0
0554D,0,0,0,0,0,0,0
0177T,0,0,0,0,0,0,0
0672G,0,0,0,0,0,0,0
0284K,0,0,0,0,0,0,0
0414B,0,0,0,0,0,0,0
1706F,0,0,0,0,0,0,0
0297Z,1,0,0,0,0,0,0
0183A,1,0,0,0,0,1,1
0182Z,1,0,0,0,0,0,1
0413A,1,0,1,0,1,0,1
1471A,1,0,1,0,0,0,1
2501V,1,0,1,0,1,0,1
0395F,1,0,1,0,0,0,1
1550L,1,0,1,0,0,0,1
0913T,1,0,1,0,0,0,1
0829C,1,0,1,1,0,0,1
1128C,1,0,1,0,0,0,1
2386V,1,0,1,0,0,0,1
2214H,1,0,1,0,1,0,1
2302D,1,0,0,0,0,0,1
1908A,1,0,1,0,1,0,1
0899D,1,0,1,0,0,0,1
2154S,1,0,1,0,0,0,1
1710K,1,0,1,0,1,0,1
1359D,1,0,1,0,0,0,1
0716E,1,0,1,0,1,0,1
2095D,1,0,1,0,0,0,1
2297Y,1,0,1,0,0,0,1
1066K,1,0,1,0,0,0,1
1821F,1,0,1,0,1,0,1
0940Y,1,0,1,0,1,0,1
0404Q,1,0,1,0,1,0,1
